a,word,level
429,bail,A3
430,bake,A2
431,balance,A2
433,balanced,A1
434,ball,A1
435,ballet,A1
436,balloon,A1
437,ballot,A3
438,ban,A2
440,banana,A1
441,band,A1
442,bank,A1
443,banner,A3
444,bar,A1
446,bare,A3
447,barely,A1
448,bargain,A1
449,barrel,A3
450,barrier,A1
451,base,A2
453,baseball,A1
454,based,A1
455,basement,A1
456,basic,A2
457,basically,A1
458,basis,A2
459,basket,A1
460,basketball,A1
461,bass,A3
462,bat,A1
464,bath,A1
465,bathroom,A1
466,battery,A2
467,battle,A2
469,battlefield,A3
470,bay,A3
471,be,A1
473,beach,A1
474,beam,A3
475,bean,A1
476,bear,A1
478,beast,A3
479,beat,A1
481,beautiful,A1
482,beauty,A2
483,because,A1
484,become,A1
485,bed,A1
486,bedroom,A1
487,bee,A2
488,beef,A1
489,beer,A1
490,before,A1
493,beg,A1
494,begin,A1
495,beginning,A1
496,behalf,A3
497,behave,A1
498,behaviour,A1
499,behind,A1
501,being,A1
502,belief,A2
503,believe,A1
504,bell,A2
505,belong,A1
506,beloved,A3
507,below,A1
509,belt,A1
510,bench,A3
511,benchmark,A3
512,bend,A2
514,beneath,A3
515,beneficial,A1
516,beneficiary,A3
517,benefit,A1
519,bent,A1
520,beside,A1
521,besides,A1
523,best,A1
526,bet,A1
528,betray,A3
529,better,A1
532,between,A1
534,beyond,A1
536,bias,A1
537,bicycle,A1
538,bid,A1
540,big,A1
541,bike,A1
542,bill,A1
544,billion,A1
545,bin,A1
546,bind,A3
547,biography,A3
548,biological,A1
549,biology,A1
550,bird,A1
551,birth,A1
552,birthday,A1
553,biscuit,A1
554,bishop,A3
555,bit,A1
556,bite,A2
558,bitter,A1
559,bizarre,A3
560,black,A1
562,blade,A3
563,blame,A1
565,blank,A1
567,blanket,A1
568,blast,A3
570,bleed,A3
571,blend,A3
573,bless,A3
574,blessing,A3
575,blind,A1
576,block,A2
578,blog,A1
579,blonde,A1
580,blood,A1
581,blow,A1
583,blue,A1
585,board,A1
587,boast,A3
588,boat,A1
589,body,A1
590,boil,A1
591,bold,A1
592,bomb,A2
594,bombing,A1
595,bond,A1
596,bone,A1
597,bonus,A3
598,book,A1
600,booking,A1
601,boom,A3
602,boost,A1
604,boot,A1
605,border,A2
607,bored,A1
608,boring,A1
609,born,A1
610,borrow,A1
611,boss,A1
612,both,A1
614,bother,A2
615,bottle,A1
616,bottom,A1
618,bounce,A3
619,bound,A1
620,boundary,A3
621,bow,A3
623,bowl,A1
624,box,A1
625,boy,A1
626,boyfriend,A1
627,brain,A1
628,branch,A2
629,brand,A2
631,brave,A2
632,breach,A3
634,bread,A1
635,break,A1
637,breakdown,A3
638,breakfast,A1
639,breakthrough,A3
640,breast,A1
641,breath,A2
642,breathe,A2
643,breathing,A2
644,breed,A3
646,brick,A1
647,bride,A2
648,bridge,A1
649,brief,A1
650,briefly,A1
651,bright,A1
652,brilliant,A1
653,bring,A1
654,broad,A1
655,broadband,A3
656,broadcast,A1
658,broadcaster,A1
659,broadly,A1
660,broken,A1
661,brother,A1
662,brown,A1
664,browser,A3
665,brush,A1
667,brutal,A3
668,bubble,A2
669,buck,A3
670,buddy,A3
671,budget,A1
672,buffer,A3
673,bug,A1
674,build,A1
675,building,A1
676,bulk,A3
677,bullet,A1
678,bunch,A1
679,burden,A3
680,bureaucracy,A3
681,burial,A3
682,burn,A1
684,burst,A3
685,bury,A2
686,bus,A1
687,bush,A1
688,business,A1
689,businessman,A1
690,busy,A1
691,but,A1
693,butter,A1
694,button,A1
695,buy,A1
696,by,A2
698,bye,A1
699,cabin,A1
700,cabinet,A3
701,cable,A1
702,cafe,A1
703,cake,A1
704,calculate,A1
705,calculation,A3
706,call,A1
708,calm,A2
711,camera,A1
712,camp,A1
714,campaign,A2
716,camping,A1
717,campus,A2
718,can,A1
720,canal,A1
721,cancel,A1
722,cancer,A1
723,candidate,A2
724,candle,A1
725,cannot,A1
726,canvas,A3
727,cap,A2
728,capability,A3
729,capable,A1
730,capacity,A1
731,capital,A1
733,capitalism,A3
734,capitalist,A3
735,captain,A2
736,capture,A1
738,car,A1
739,carbon,A1
740,card,A1
741,care,A1
743,career,A1
744,careful,A1
745,carefully,A1
746,careless,A2
747,cargo,A3
748,carpet,A1
749,carriage,A3
750,carrot,A1
751,carry,A1
752,cartoon,A1
753,carve,A3
754,case,A1
755,cash,A1
756,casino,A3
757,cast,A1
759,castle,A1
760,casual,A1
761,casualty,A3
762,cat,A1
763,catalogue,A3
764,catch,A1
766,category,A2
767,cater,A3
768,cattle,A3
769,cause,A1
771,caution,A3
